year,month,prefecture,prefecture_total_job_count,national_total_job_count,source_sheet,source_url
2022,5,大阪府,178789,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,兵庫県,75996,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,奈良県,20869,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,和歌山県,15299,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,鳥取県,13067,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,島根県,16901,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,岡山県,40975,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,広島県,58618,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,山口県,27499,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,徳島県,14685,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,香川県,20574,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,愛媛県,27036,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,高知県,13630,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,福岡県,96912,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,佐賀県,16929,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,長崎県,24470,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,熊本県,33376,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,大分県,23770,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,宮崎県,24724,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,鹿児島県,40926,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,沖縄県,23161,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,北海道,93163,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,青森県,24524,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,岩手県,23736,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,宮城県,45023,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,秋田県,21286,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,山形県,23815,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,福島県,35154,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,茨城県,47535,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,栃木県,36615,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,群馬県,35191,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,埼玉県,84970,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,千葉県,65799,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,東京都,266379,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,神奈川県,86222,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,新潟県,49775,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,富山県,22061,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,石川県,24881,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,福井県,18133,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,山梨県,15287,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,長野県,44396,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,岐阜県,42726,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,静岡県,62189,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,6,愛知県,121579,2209800,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
