year,month,major_category,estat_job_count
2024,5,農林漁業,17257
2024,5,運搬・清掃・包装等,373612
2024,5,集計区分,276520
2024,6,サービス,1010747
2024,6,事務,401174
2024,6,保安,82715
2024,6,分類不能,0
2024,6,専門・技術,1001485
2024,6,建設・採掘,226116
2024,6,生産工程,391050
2024,6,管理,5998
2024,6,販売,407164
2024,6,輸送・機械運転,253934
2024,6,農林漁業,16271
2024,6,運搬・清掃・包装等,361784
2024,6,集計区分,275754
2024,7,サービス,1026934
2024,7,事務,406080
2024,7,保安,83616
2024,7,分類不能,0
2024,7,専門・技術,1015966
2024,7,建設・採掘,228160
2024,7,生産工程,395296
2024,7,管理,6030
2024,7,販売,409454
2024,7,輸送・機械運転,254932
2024,7,農林漁業,16122
2024,7,運搬・清掃・包装等,367650
2024,7,集計区分,282236
2024,8,サービス,1011474
2024,8,事務,404212
2024,8,保安,83753
2024,8,分類不能,0
2024,8,専門・技術,1001000
2024,8,建設・採掘,222368
2024,8,生産工程,391812
2024,8,管理,5789
2024,8,販売,409256
2024,8,輸送・機械運転,252752
2024,8,農林漁業,15691
2024,8,運搬・清掃・包装等,368040
2024,8,集計区分,283593
2024,9,サービス,1029533
2024,9,事務,408814
2024,9,保安,83177
2024,9,分類不能,0
2024,9,専門・技術,991779
2024,9,建設・採掘,224310
2024,9,生産工程,402362
2024,9,管理,5657
2024,9,販売,415690
2024,9,輸送・機械運転,254858
2024,9,農林漁業,16257
2024,9,運搬・清掃・包装等,380902
2024,9,集計区分,287449
2024,10,サービス,1054419
2024,10,事務,423256
2024,10,保安,87146
2024,10,分類不能,0
2024,10,専門・技術,1017229
2024,10,建設・採掘,229900
2024,10,生産工程,415590
2024,10,管理,5810
2024,10,販売,428032
2024,10,輸送・機械運転,263440
2024,10,農林漁業,16466
2024,10,運搬・清掃・包装等,394928
2024,10,集計区分,295898
2024,11,サービス,1039687
2024,11,事務,415598
2024,11,保安,88871
2024,11,分類不能,0
2024,11,専門・技術,1023437
2024,11,建設・採掘,229404
2024,11,生産工程,410630
2024,11,管理,6135
2024,11,販売,422996
2024,11,輸送・機械運転,262090
2024,11,農林漁業,15755
2024,11,運搬・清掃・包装等,382464
2024,11,集計区分,293429
2024,12,サービス,1008412
2024,12,事務,415778
2024,12,保安,88629
2024,12,分類不能,0
2024,12,専門・技術,1024284
2024,12,建設・採掘,224590
2024,12,生産工程,398892
2024,12,管理,6266
2024,12,販売,410436
2024,12,輸送・機械運転,254078
2024,12,農林漁業,14808
2024,12,運搬・清掃・包装等,364832
2024,12,集計区分,286433
2025,1,サービス,974365
2025,1,事務,443164
2025,1,保安,89116
2025,1,分類不能,0
2025,1,専門・技術,1032201
2025,1,建設・採掘,222196
2025,1,生産工程,394628
2025,1,管理,6361
2025,1,販売,407872
2025,1,輸送・機械運転,252132
2025,1,農林漁業,15721
2025,1,運搬・清掃・包装等,359580
2025,1,集計区分,279024
2025,2,サービス,968415
2025,2,事務,468978
2025,2,保安,89655
2025,2,分類不能,0
2025,2,専門・技術,1042917
2025,2,建設・採掘,225806
2025,2,生産工程,399440
2025,2,管理,6101
2025,2,販売,403292
2025,2,輸送・機械運転,254818
2025,2,農林漁業,16940
2025,2,運搬・清掃・包装等,364680
2025,2,集計区分,276441
2025,3,サービス,978958
2025,3,事務,457062
2025,3,保安,91623
2025,3,分類不能,0
2025,3,専門・技術,1031240
2025,3,建設・採掘,231198
2025,3,生産工程,403256
2025,3,管理,6178
2025,3,販売,402540
2025,3,輸送・機械運転,259468
2025,3,農林漁業,17835
2025,3,運搬・清掃・包装等,375566
2025,3,集計区分,276616
2025,4,サービス,977682
2025,4,事務,417744
2025,4,保安,90512
2025,4,分類不能,0
2025,4,専門・技術,997632
2025,4,建設・採掘,232042
2025,4,生産工程,399756
2025,4,管理,6661
2025,4,販売,396590
2025,4,輸送・機械運転,258858
2025,4,農林漁業,17452
2025,4,運搬・清掃・包装等,371478
2025,4,集計区分,274516
2025,5,サービス,985251
2025,5,事務,399862
2025,5,保安,88397
2025,5,分類不能,0
2025,5,専門・技術,979215
2025,5,建設・採掘,231452
2025,5,生産工程,391628
2025,5,管理,6399
2025,5,販売,391964
2025,5,輸送・機械運転,255518
2025,5,農林漁業,16593
2025,5,運搬・清掃・包装等,364154
2025,5,集計区分,278051
2025,6,サービス,977912
2025,6,事務,387834
2025,6,保安,89094
2025,6,分類不能,0
2025,6,専門・技術,973152
2025,6,建設・採掘,231820
2025,6,生産工程,388452
2025,6,管理,6379
2025,6,販売,390022
2025,6,輸送・機械運転,254094
2025,6,農林漁業,16110
2025,6,運搬・清掃・包装等,356002
2025,6,集計区分,279077
2025,7,サービス,979199
2025,7,事務,389094
2025,7,保安,91392
2025,7,分類不能,0
2025,7,専門・技術,981123
2025,7,建設・採掘,229716
2025,7,生産工程,391668
2025,7,管理,5838
2025,7,販売,391988
2025,7,輸送・機械運転,255882
2025,7,農林漁業,15747
