year,month,major_category,hellowork_active_job_count,estimated_national_active_job_count_base
2023,5,運搬・清掃・包装等,410184,825823
2023,6,サービス,1048420,2314234
2023,6,事務,419864,1393482
2023,6,保安,81946,182102
2023,6,専門・技術,979520,2900789
2023,6,建設・採掘,239180,422583
2023,6,生産工程,434306,829130
2023,6,管理,6875,57292
2023,6,販売,425530,1531516
2023,6,輸送・機械運転,263424,495193
2023,6,農林漁業,17405,26777
2023,6,運搬・清掃・包装等,408012,821405
2023,7,サービス,1040774,2296732
2023,7,事務,413596,1372502
2023,7,保安,82384,183076
2023,7,専門・技術,977404,2895803
2023,7,建設・採掘,237710,420030
2023,7,生産工程,430674,822196
2023,7,管理,6886,57383
2023,7,販売,425536,1530880
2023,7,輸送・機械運転,261748,492150
2023,7,農林漁業,16942,26065
2023,7,運搬・清掃・包装等,403552,812445
2023,8,サービス,1047891,2311818
2023,8,事務,417954,1387149
2023,8,保安,82474,183276
2023,8,専門・技術,988045,2928056
2023,8,建設・採掘,234030,413542
2023,8,生産工程,434646,829779
2023,8,管理,6886,57383
2023,8,販売,430350,1548340
2023,8,輸送・機械運転,263972,496303
2023,8,農林漁業,17077,26272
2023,8,運搬・清掃・包装等,406620,818551
2023,9,サービス,1052675,2321643
2023,9,事務,421160,1397610
2023,9,保安,82732,183849
2023,9,専門・技術,983009,2911573
2023,9,建設・採掘,235058,415412
2023,9,生産工程,442324,844437
2023,9,管理,6989,58242
2023,9,販売,431720,1553420
2023,9,輸送・機械運転,263704,495802
2023,9,農林漁業,17048,26228
2023,9,運搬・清掃・包装等,415276,836037
2023,10,サービス,1075660,2371903
2023,10,事務,427466,1418194
2023,10,保安,85397,189771
2023,10,専門・技術,1006626,2980631
2023,10,建設・採掘,237874,420344
2023,10,生産工程,445982,851420
2023,10,管理,6994,58283
2023,10,販売,440100,1583691
2023,10,輸送・機械運転,268644,505049
2023,10,農林漁業,17055,26238
2023,10,運搬・清掃・包装等,417116,839893
2023,11,サービス,1067209,2354147
2023,11,事務,420638,1395666
2023,11,保安,85814,190698
2023,11,専門・技術,1004053,2972278
2023,11,建設・採掘,235172,415529
2023,11,生産工程,434448,829401
2023,11,管理,6898,57483
2023,11,販売,433108,1558009
2023,11,輸送・機械運転,263622,495580
2023,11,農林漁業,16892,25988
2023,11,運搬・清掃・包装等,397886,801342
2023,12,サービス,1028662,2267938
2023,12,事務,420920,1396818
2023,12,保安,83654,185898
2023,12,専門・技術,1000332,2960450
2023,12,建設・採掘,228154,403105
2023,12,生産工程,419286,800455
2023,12,管理,6638,55317
2023,12,販売,420070,1510174
2023,12,輸送・機械運転,257440,483960
2023,12,農林漁業,15814,24329
2023,12,運搬・清掃・包装等,377142,759685
2024,1,サービス,995971,2195934
2024,1,事務,451278,1498748
2024,1,保安,80999,179998
2024,1,専門・技術,1018695,3010470
2024,1,建設・採掘,225764,398932
2024,1,生産工程,410944,784529
2024,1,管理,6543,54525
2024,1,販売,417294,1500019
2024,1,輸送・機械運転,257536,484049
2024,1,農林漁業,16194,24914
2024,1,運搬・清掃・包装等,373382,752150
2024,2,サービス,1009974,2229005
2024,2,事務,496578,1650669
2024,2,保安,81561,181247
2024,2,専門・技術,1050502,3106967
2024,2,建設・採掘,231802,409562
2024,2,生産工程,419076,800054
2024,2,管理,6887,57392
2024,2,販売,419274,1506607
2024,2,輸送・機械運転,262168,492803
2024,2,農林漁業,17795,27377
2024,2,運搬・清掃・包装等,383168,771879
2024,3,サービス,1022787,2259649
2024,3,事務,481536,1600000
2024,3,保安,82028,182284
2024,3,専門・技術,1027993,3045676
2024,3,建設・採掘,233888,413131
2024,3,生産工程,421900,805445
2024,3,管理,6384,53200
2024,3,販売,422408,1518217
2024,3,輸送・機械運転,264530,497158
2024,3,農林漁業,18714,28791
2024,3,運搬・清掃・包装等,389974,785472
2024,4,サービス,1015132,2243093
2024,4,事務,435638,1445909
2024,4,保安,81133,180296
2024,4,専門・技術,980714,2912551
2024,4,建設・採掘,232426,410604
2024,4,生産工程,410426,783541
2024,4,管理,6274,52283
2024,4,販売,415664,1494530
2024,4,輸送・機械運転,259912,488495
2024,4,農林漁業,17926,27578
2024,4,運搬・清掃・包装等,383846,773118
2024,5,サービス,1023513,2260222
2024,5,事務,417938,1386795
2024,5,保安,81502,181116
2024,5,専門・技術,989069,2937628
2024,5,建設・採掘,228338,403348
2024,5,生産工程,399918,763480
2024,5,管理,6264,52200
2024,5,販売,412758,1484376
2024,5,輸送・機械運転,257018,483056
2024,5,農林漁業,17257,26549
2024,5,運搬・清掃・包装等,373612,752461
2024,6,サービス,1010747,2230777
2024,6,事務,401174,1330722
2024,6,保安,82715,183811
2024,6,専門・技術,1001485,2970135
2024,6,建設・採掘,226116,399410
2024,6,生産工程,391050,746550
2024,6,管理,5998,49983
2024,6,販売,407164,1464003
2024,6,輸送・機械運転,253934,477257
2024,6,農林漁業,16271,25032
2024,6,運搬・清掃・包装等,361784,728652
2024,7,サービス,1026934,2265305
2024,7,事務,406080,1347069
2024,7,保安,83616,185813
2024,7,専門・技術,1015966,3012770
2024,7,建設・採掘,228160,403046
2024,7,生産工程,395296,754656
2024,7,管理,6030,50250
2024,7,販売,409454,1471915
2024,7,輸送・機械運転,254932,479175
2024,7,農林漁業,16122,24803
2024,7,運搬・清掃・包装等,367650,740475
2024,8,サービス,1011474,2229245
2024,8,事務,404212,1340806
2024,8,保安,83753,186118
2024,8,専門・技術,1001000,2965997
2024,8,建設・採掘,222368,392893
2024,8,生産工程,391812,748005
2024,8,管理,5789,48242
2024,8,販売,409256,1471910
2024,8,輸送・機械運転,252752,475056
2024,8,農林漁業,15691,24140
2024,8,運搬・清掃・包装等,368040,741305
2024,9,サービス,1029533,2269338
2024,9,事務,408814,1355905
2024,9,保安,83177,184838
2024,9,専門・技術,991779,2939488
2024,9,建設・採掘,224310,396345
2024,9,生産工程,402362,768146
2024,9,管理,5657,47142
2024,9,販売,415690,1495429
2024,9,輸送・機械運転,254858,479022
2024,9,農林漁業,16257,25011
2024,9,運搬・清掃・包装等,380902,767249
2024,10,サービス,1054419,2323563
2024,10,事務,423256,1403796
2024,10,保安,87146,193658
2024,10,専門・技術,1017229,3012705
2024,10,建設・採掘,229900,406187
2024,10,生産工程,415590,793399
2024,10,管理,5810,48417
2024,10,販売,428032,1539769
2024,10,輸送・機械運転,263440,495148
2024,10,農林漁業,16466,25332
2024,10,運搬・清掃・包装等,394928,795540
2024,11,サービス,1039687,2291074
2024,11,事務,415598,1378360
2024,11,保安,88871,197491
2024,11,専門・技術,1023437,3029959
2024,11,建設・採掘,229404,405323
2024,11,生産工程,410630,783930
2024,11,管理,6135,51125
2024,11,販売,422996,1521137
2024,11,輸送・機械運転,262090,492645
2024,11,農林漁業,15755,24238
2024,11,運搬・清掃・包装等,382464,770479
2024,12,サービス,1008412,2222094
2024,12,事務,415778,1379434
2024,12,保安,88629,196953
2024,12,専門・技術,1024284,3034138
2024,12,建設・採掘,224590,396758
2024,12,生産工程,398892,761521
2024,12,管理,6266,52217
2024,12,販売,410436,1475089
2024,12,輸送・機械運転,254078,477635
2024,12,農林漁業,14808,22782
2024,12,運搬・清掃・包装等,364832,735039
2025,1,サービス,974365,2147666
2025,1,事務,443164,1471757
2025,1,保安,89116,198036
2025,1,専門・技術,1032201,3055604
2025,1,建設・採掘,222196,392521
2025,1,生産工程,394628,753381
2025,1,管理,6361,53008
2025,1,販売,407872,1466472
2025,1,輸送・機械運転,252132,473960
2025,1,農林漁業,15721,24186
2025,1,運搬・清掃・包装等,359580,724443
2025,2,サービス,968415,2135664
2025,2,事務,468978,1558508
2025,2,保安,89655,199233
2025,2,専門・技術,1042917,3087328
2025,2,建設・採掘,225806,398854
2025,2,生産工程,399440,762567
2025,2,管理,6101,50842
2025,2,販売,403292,1449611
2025,2,輸送・機械運転,254818,479064
2025,2,農林漁業,16940,26062
2025,2,運搬・清掃・包装等,364680,734773
