year,month,major_category,estat_job_count,coverage_rate,estimated_national_job_count,coverage_source,notes
2022,12,運搬・清掃・包装等,415864,0.48,,default_heuristic,レビュー用の見直し後初期値
2022,12,集計区分,283440,,,,
2023,1,サービス,1048574,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,1,事務,463442,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,1,保安,78122,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,1,分類不能,0,,,,
2023,1,専門・技術,1020834,0.34,,default_heuristic,レビュー用の見直し後初期値
2023,1,建設・採掘,234492,0.55,,default_heuristic,レビュー用の見直し後初期値
2023,1,生産工程,453678,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,1,管理,7401,0.20,,default_heuristic,レビュー用の見直し後初期値
2023,1,販売,426422,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,1,輸送・機械運転,259036,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,1,農林漁業,17295,0.65,,default_heuristic,レビュー用の見直し後初期値
2023,1,運搬・清掃・包装等,412878,0.48,,default_heuristic,レビュー用の見直し後初期値
2023,1,集計区分,276411,,,,
2023,2,サービス,1049437,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,2,事務,511876,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,2,保安,78819,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,2,分類不能,0,,,,
2023,2,専門・技術,1050391,0.34,,default_heuristic,レビュー用の見直し後初期値
2023,2,建設・採掘,237360,0.55,,default_heuristic,レビュー用の見直し後初期値
2023,2,生産工程,455892,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,2,管理,7382,0.20,,default_heuristic,レビュー用の見直し後初期値
2023,2,販売,427298,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,2,輸送・機械運転,265046,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,2,農林漁業,18657,0.65,,default_heuristic,レビュー用の見直し後初期値
2023,2,運搬・清掃・包装等,421062,0.48,,default_heuristic,レビュー用の見直し後初期値
2023,2,集計区分,273617,,,,
2023,3,サービス,1069298,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,3,事務,502402,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,3,保安,82118,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,3,分類不能,0,,,,
2023,3,専門・技術,1037804,0.34,,default_heuristic,レビュー用の見直し後初期値
2023,3,建設・採掘,243608,0.55,,default_heuristic,レビュー用の見直し後初期値
2023,3,生産工程,459570,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,3,管理,6990,0.20,,default_heuristic,レビュー用の見直し後初期値
2023,3,販売,435614,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,3,輸送・機械運転,269084,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,3,農林漁業,20038,0.65,,default_heuristic,レビュー用の見直し後初期値
2023,3,運搬・清掃・包装等,435364,0.48,,default_heuristic,レビュー用の見直し後初期値
2023,3,集計区分,276979,,,,
2023,4,サービス,1033603,0.45,,default_heuristic,レビュー用の見直し後初期値
