year,month,major_category,occupation_name,jobmedley_related,estat_job_count,major_category_coverage_rate,occupation_relative_factor,coverage_rate,estimated_national_job_count,factor_source,confidence,notes
2022,8,建設・採掘,電気工事従事者,false,19471,0.550000,1.10,0.605000,32183,default_heuristic,low,
2022,8,サービス,飲食物調理従事者,true,129765,0.450000,1.00,0.450000,288367,default_neutral,low,
2022,9,サービス,その他のサービス職業従事者,false,27497,0.450000,1.00,0.450000,61104,default_neutral,low,
2022,9,専門・技術,その他の保健医療従事者,false,21863,0.340000,1.00,0.340000,64303,default_neutral,low,
2022,9,専門・技術,その他の専門的職業,false,31539,0.340000,1.00,0.340000,92762,default_neutral,low,
2022,9,専門・技術,その他の技術者,false,3759,0.340000,1.00,0.340000,11056,default_neutral,low,
2022,9,輸送・機械運転,その他の輸送従事者,false,6901,0.500000,1.00,0.500000,13802,default_neutral,low,
2022,9,運搬・清掃・包装等,その他の運搬・清掃・包装等従事者,false,55247,0.480000,1.00,0.480000,115098,default_neutral,low,
2022,9,サービス,サービス職業従事者,false,545794,0.450000,0.95,0.427500,1276711,default_heuristic,low,
2022,9,事務,一般事務従事者,true,141757,0.350000,0.85,0.297500,476494,default_heuristic,low,
2022,9,事務,事務従事者,true,208090,0.350000,0.85,0.297500,699462,default_heuristic,low,
2022,9,事務,事務用機器操作員,false,3922,0.350000,1.00,0.350000,11206,default_neutral,low,
2022,9,サービス,介護サービス職業従事者,true,219493,0.450000,1.25,0.562500,390210,default_heuristic,low,
2022,9,集計区分,介護関係職種（注２）カ,false,289079,,,,,not_estimated,n/a,総計・集計区分・分類不能は occupation 推計対象外
2022,9,事務,会計事務従事者,true,19148,0.350000,0.90,0.315000,60787,default_heuristic,low,
2022,9,専門・技術,保健医療サービス職業従事者,false,28141,0.340000,1.00,0.340000,82768,default_neutral,low,
2022,9,専門・技術,保健師，助産師，看護師,true,103994,0.340000,1.25,0.425000,244692,default_heuristic,low,
2022,9,保安,保安職業従事者,false,81124,0.450000,1.00,0.450000,180276,default_neutral,low,
2022,9,分類不能,分類不能の職業,false,0,,,,,not_estimated,n/a,総計・集計区分・分類不能は occupation 推計対象外
2022,9,運搬・清掃・包装等,包装従事者,false,10523,0.480000,1.00,0.480000,21923,default_neutral,low,
2022,9,専門・技術,医師，歯科医師，獣医師，薬剤師,true,9576,0.340000,1.15,0.391000,24491,default_heuristic,low,
2022,9,専門・技術,医療技術者,true,40997,0.340000,1.10,0.374000,109618,default_heuristic,low,
2022,9,販売,商品販売従事者,false,134100,0.350000,0.75,0.262500,510857,default_heuristic,low,
2022,9,事務,営業・販売事務従事者,false,20654,0.350000,0.85,0.297500,69425,default_heuristic,low,
2022,9,販売,営業職業従事者,true,79730,0.350000,0.85,0.297500,268000,default_heuristic,low,
2022,9,建設・採掘,土木作業従事者,false,47044,0.550000,1.00,0.550000,85535,default_neutral,low,
2022,9,事務,外勤事務従事者,false,711,0.350000,1.00,0.350000,2031,default_neutral,low,
2022,9,輸送・機械運転,定置・建設機械運転従事者,false,19700,0.500000,1.00,0.500000,39400,default_neutral,low,
2022,9,サービス,家庭生活支援サービス職業従事者,true,2376,0.450000,1.00,0.450000,5280,default_neutral,low,
2022,9,専門・技術,専門的・技術的職業従事者,false,477526,0.340000,1.00,0.340000,1404488,default_neutral,low,
2022,9,サービス,居住施設・ビル等管理人,false,9924,0.450000,1.00,0.450000,22053,default_neutral,low,
2022,9,専門・技術,建築・土木・測量技術者,false,62750,0.340000,1.05,0.357000,175770,default_heuristic,low,
2022,9,建設・採掘,建設・採掘従事者,false,122569,0.550000,1.00,0.550000,222853,default_neutral,low,
2022,9,建設・採掘,建設従事者（建設躯体工事従事者を除く）,false,33161,0.550000,1.10,0.605000,54812,default_heuristic,low,
2022,9,建設・採掘,建設躯体工事従事者,false,22793,0.550000,1.10,0.605000,37674,default_heuristic,low,
2022,9,専門・技術,情報処理・通信技術者,false,47913,0.340000,0.55,0.187000,256219,default_heuristic,low,
